id,time
0,0.17540624
1,1.80150901
2,6.68456421
3,0.34633541
4,0.78630203
5,1.23068348
6,5.37975735
7,0.06845803
8,-0.2907037
9,2.30072343
10,4.60989265
11,0.53999577
12,0.56808039
13,0.2728502
14,8.49471976
15,3.18890815
16,0.31395843
17,1.11407791
18,1.81201625
19,1.18089314
20,7.14712779
21,0.18157899
22,3.00270981
23,0.24439617
24,0.8931616
25,0.19037125
26,4.24103754
27,0.92969475
28,0.6561852
29,1.93677222
30,5.77990458
31,1.88747867
32,7.90758167
33,3.89929273
34,7.11053887
35,2.04677357
36,1.24878279
37,0.39862277
38,0.075194
39,3.56149518
40,2.6477046
41,0.36869106
42,2.40220742
43,0.31673193
44,0.79433987
45,12.88980448
46,3.4549621
47,1.57048753
48,10.23926206
49,3.36236045
50,1.86016251
51,1.59926607
52,0.96309442
53,2.61095025
54,1.25905203
55,12.53253845
56,0.73472652
57,17.51798947
58,0.83554393
59,0.25218003
60,0.92059533
61,2.20814996
62,2.8270282
63,0.76522763
64,0.0861693
65,15.58791918
66,2.05889191
67,0.9530362
68,0.82472588
69,0.7283256
70,5.91083944
71,0.74865703
72,1.87688876
73,0.13652622
74,5.1004134
75,1.29198086
76,0.73219393
77,0.14335439
78,1.47899413
79,0.25435829
80,0.08499627
81,2.5884991
82,1.97722044
83,3.10635687
84,0.11590828
85,13.93312238
86,1.50043115
87,0.49188079
88,0.25501132
89,0.79824044
90,0.83719727
91,0.24352739
92,3.71171165
93,1.37002777
94,1.19884703
95,1.66203526
96,10.83636699
97,3.69642435
98,0.45443698
99,0.13231464
